"tic","invest"
"3ACLZ",1092.89617486339
"3SPKMF",1092.89617486339
"3TDCB",1092.89617486339
"AAC",1092.89617486339
"ABCAF",1092.89617486339
"ABCD",1092.89617486339
"ACAZF",1092.89617486339
"ACBI",1092.89617486339
"ACC",1092.89617486339
"ACCO",1092.89617486339
"ACHN",1092.89617486339
"ACKRF",1092.89617486339
"ACWRF",1092.89617486339
"ADXS",1092.89617486339
"AER",1092.89617486339
"AERO",1092.89617486339
"AETI",1092.89617486339
"AFSI",1092.89617486339
"AGSVF",1092.89617486339
"AGXXF",1092.89617486339
"AHC",1092.89617486339
"AHGP",1092.89617486339
"AIDEF",1092.89617486339
"AIERF",1092.89617486339
"AIMC",1092.89617486339
"AIRI",1092.89617486339
"ALB.",1092.89617486339
"ALGT",1092.89617486339
"ALLT",1092.89617486339
"ALO",1092.89617486339
"ALSN",1092.89617486339
"ALXXF",1092.89617486339
"AMC",1092.89617486339
"AMCN",1092.89617486339
"AMDA",1092.89617486339
"AMP",1092.89617486339
"AMSF",1092.89617486339
"AMTX",1092.89617486339
"ANCKF",1092.89617486339
"ANCX",1092.89617486339
"ANW",1092.89617486339
"AOCIF",1092.89617486339
"AOREF",1092.89617486339
"APEI",1092.89617486339
"APLP",1092.89617486339
"APTOF",1092.89617486339
"AQARF",1092.89617486339
"ARAY",1092.89617486339
"ARC",1092.89617486339
"ARCC",1092.89617486339
"AREX",1092.89617486339
"ARFXF",1092.89617486339
"ARII",1092.89617486339
"ARMZF",1092.89617486339
"ARNGF",1092.89617486339
"ASGTF",1092.89617486339
"ASPU",1092.89617486339
"ASTI",1092.89617486339
"AT",1092.89617486339
"ATAI",1092.89617486339
"ATCMF",1092.89617486339
"ATEC",1092.89617486339
"ATHN",1092.89617486339
"ATHX",1092.89617486339
"ATLS",1092.89617486339
"ATRC",1092.89617486339
"ATU.",1092.89617486339
"ATURF",1092.89617486339
"ATV",1092.89617486339
"AVAV",1092.89617486339
"AVBH",1092.89617486339
"AVCVF",1092.89617486339
"AVLIF",1092.89617486339
"AVNW",1092.89617486339
"AVOI",1092.89617486339
"AVXL",1092.89617486339
"AWI",1092.89617486339
"AWK",1092.89617486339
"AXU",1092.89617486339
"AYR",1092.89617486339
"AYTU",1092.89617486339
"AZURF",1092.89617486339
"BAOGF",1092.89617486339
"BBEPQ",1092.89617486339
"BBG",1092.89617486339
"BBW",1092.89617486339
"BCML",1092.89617486339
"BCOM",1092.89617486339
"BCUFF",1092.89617486339
"BDCO",1092.89617486339
"BDIMF",1092.89617486339
"BEAT",1092.89617486339
"BECN",1092.89617486339
"BFIN",1092.89617486339
"BGI",1092.89617486339
"BGRP",1092.89617486339
"BIDU",1092.89617486339
"BIEI",1092.89617486339
"BIL",1092.89617486339
"BIOAF",1092.89617486339
"BIP",1092.89617486339
"BKCC",1092.89617486339
"BKD",1092.89617486339
"BKEP",1092.89617486339
"BKUCF",1092.89617486339
"BLDR",1092.89617486339
"BLIN",1092.89617486339
"BLKLF",1092.89617486339
"BLMN",1092.89617486339
"BLONF",1092.89617486339
"BLSP",1092.89617486339
"BNCL",1092.89617486339
"BNRJF",1092.89617486339
"BOFI",1092.89617486339
"BPTH",1092.89617486339
"BR",1092.89617486339
"BRFH",1092.89617486339
"BRPHF",1092.89617486339
"BRPIF",1092.89617486339
"BSPK",1092.89617486339
"BTBIF",1092.89617486339
"BTG",1092.89617486339
"BTHE",1092.89617486339
"BURG",1092.89617486339
"BVLDF",1092.89617486339
"BVPFF",1092.89617486339
"BWEN",1092.89617486339
"BWP",1092.89617486339
"BX",1092.89617486339
"BXC",1092.89617486339
"BYSWF",1092.89617486339
"CADC",1092.89617486339
"CAGDF",1092.89617486339
"CAI",1092.89617486339
"CALI",1092.89617486339
"CARE",1092.89617486339
"CART",1092.89617486339
"CAVM",1092.89617486339
"CBBT",1092.89617486339
"CBGDF",1092.89617486339
"CBLI",1092.89617486339
"CBMG",1092.89617486339
"CBPO",1092.89617486339
"CCCL",1092.89617486339
"CCNI",1092.89617486339
"CCO",1092.89617486339
"CCORF",1092.89617486339
"CDXC",1092.89617486339
"CE",1092.89617486339
"CEI",1092.89617486339
"CEL",1092.89617486339
"CELH",1092.89617486339
"CEQP",1092.89617486339
"CEQXF",1092.89617486339
"CERGF",1092.89617486339
"CESDF",1092.89617486339
"CETY",1092.89617486339
"CF",1092.89617486339
"CFPUF",1092.89617486339
"CFST",1092.89617486339
"CGFEF",1092.89617486339
"CGIX",1092.89617486339
"CGJTF",1092.89617486339
"CGLD",1092.89617486339
"CHCI",1092.89617486339
"CHHE",1092.89617486339
"CHRRF",1092.89617486339
"CILS",1092.89617486339
"CIM",1092.89617486339
"CLIR",1092.89617486339
"CLMT",1092.89617486339
"CLNE",1092.89617486339
"CLRI",1092.89617486339
"CLUB",1092.89617486339
"CMF",1092.89617486339
"CMG",1092.89617486339
"CMPR",1092.89617486339
"CNDPF",1092.89617486339
"CNIT",1092.89617486339
"CNK",1092.89617486339
"CNSL",1092.89617486339
"CNSWF",1092.89617486339
"CNTF",1092.89617486339
"CODI",1092.89617486339
"COHN",1092.89617486339
"COLFF",1092.89617486339
"CORE",1092.89617486339
"CORR",1092.89617486339
"COTE",1092.89617486339
"COTQF",1092.89617486339
"CPA",1092.89617486339
"CPAH",1092.89617486339
"CPFXF",1092.89617486339
"CPIX",1092.89617486339
"CPLA",1092.89617486339
"CPLP",1092.89617486339
"CPMNF",1092.89617486339
"CPPMF",1092.89617486339
"CPRX",1092.89617486339
"CPS",1092.89617486339
"CQP",1092.89617486339
"CRECF",1092.89617486339
"CRFQF",1092.89617486339
"CROJF",1092.89617486339
"CROMF",1092.89617486339
"CROX",1092.89617486339
"CRSWF",1092.89617486339
"CSII",1092.89617486339
"CSIQ",1092.89617486339
"CSTE",1092.89617486339
"CTRN",1092.89617486339
"CTSO",1092.89617486339
"CTT",1092.89617486339
"CTUMF",1092.89617486339
"CTXXF",1092.89617486339
"CUBE",1092.89617486339
"CUBI",1092.89617486339
"CUII",1092.89617486339
"CUNB",1092.89617486339
"CUR",1092.89617486339
"CURN",1092.89617486339
"CVALF",1092.89617486339
"CVAT",1092.89617486339
"CVI",1092.89617486339
"CVLT",1092.89617486339
"CVTPF",1092.89617486339
"CXDC",1092.89617486339
"CXO",1092.89617486339
"CXP",1092.89617486339
"CYCC",1092.89617486339
"CYDY",1092.89617486339
"CYLU",1092.89617486339
"CYRX",1092.89617486339
"CYS",1092.89617486339
"CZZ",1092.89617486339
"DAC",1092.89617486339
"DALXF",1092.89617486339
"DCP",1092.89617486339
"DCT",1092.89617486339
"DEI",1092.89617486339
"DES",1092.89617486339
"DFRG",1092.89617486339
"DFS",1092.89617486339
"DFT",1092.89617486339
"DGLY",1092.89617486339
"DGPIF",1092.89617486339
"DGS.",1092.89617486339
"DHT",1092.89617486339
"DHX",1092.89617486339
"DIGP",1092.89617486339
"DISCA",1092.89617486339
"DK",1092.89617486339
"DLB",1092.89617486339
"DLNO",1092.89617486339
"DLR",1092.89617486339
"DMCAF",1092.89617486339
"DMQHF",1092.89617486339
"DNGDF",1092.89617486339
"DNKN",1092.89617486339
"DOLLF",1092.89617486339
"DON",1092.89617486339
"DONFF",1092.89617486339
"DRGDF",1092.89617486339
"DRH",1092.89617486339
"DRSV",1092.89617486339
"DRWIQ",1092.89617486339
"DRYS",1092.89617486339
"DSX",1092.89617486339
"DXCM",1092.89617486339
"DXTR",1092.89617486339
"EBS",1092.89617486339
"EBSB",1092.89617486339
"ECRFF",1092.89617486339
"EDR",1092.89617486339
"EDU",1092.89617486339
"EEYUF",1092.89617486339
"EGLE",1092.89617486339
"EHTH",1092.89617486339
"EIG",1092.89617486339
"ELEEF",1092.89617486339
"ENDV",1092.89617486339
"ENOC",1092.89617486339
"ENRT",1092.89617486339
"ENS",1092.89617486339
"ENSG",1092.89617486339
"EPS",1092.89617486339
"EPSEF",1092.89617486339
"EQFN",1092.89617486339
"EQM",1092.89617486339
"ERILF",1092.89617486339
"ESEA",1092.89617486339
"ESGR",1092.89617486339
"ESOA",1092.89617486339
"ESPAF",1092.89617486339
"ESPH",1092.89617486339
"ESRT",1092.89617486339
"ESSA",1092.89617486339
"ESXB",1092.89617486339
"ETE",1092.89617486339
"ETHOF",1092.89617486339
"ETOLF",1092.89617486339
"ETV",1092.89617486339
"EVEP",1092.89617486339
"EVK",1092.89617486339
"EVR",1092.89617486339
"EVRI",1092.89617486339
"EXLS",1092.89617486339
"EXT",1092.89617486339
"FABK",1092.89617486339
"FANG",1092.89617486339
"FANH",1092.89617486339
"FAPPF",1092.89617486339
"FB",1092.89617486339
"FBIZ",1092.89617486339
"FCD.UN",1092.89617486339
"FCRE",1092.89617486339
"FCS.UN",1092.89617486339
"FDBL",1092.89617486339
"FDVA",1092.89617486339
"FELP",1092.89617486339
"FET",1092.89617486339
"FFHL",1092.89617486339
"FFI.UN",1092.89617486339
"FFMGF",1092.89617486339
"FFNW",1092.89617486339
"FIBCF",1092.89617486339
"FIG",1092.89617486339
"FIS",1092.89617486339
"FISB",1092.89617486339
"FIVE",1092.89617486339
"FLY",1092.89617486339
"FMXVF",1092.89617486339
"FNF",1092.89617486339
"FNV",1092.89617486339
"FOLD",1092.89617486339
"FOR",1092.89617486339
"FPAY",1092.89617486339
"FPLSF",1092.89617486339
"FRBA",1092.89617486339
"FRCGF",1092.89617486339
"FSBC",1092.89617486339
"FSLR",1092.89617486339
"FSNN",1092.89617486339
"FSP",1092.89617486339
"FSWA",1092.89617486339
"FTD",1092.89617486339
"FTLF",1092.89617486339
"FTMR",1092.89617486339
"FTPLF",1092.89617486339
"G",1092.89617486339
"GAIN",1092.89617486339
"GAPFF",1092.89617486339
"GARS",1092.89617486339
"GARWF",1092.89617486339
"GASS",1092.89617486339
"GAZ.UN",1092.89617486339
"GBNK",1092.89617486339
"GCR.",1092.89617486339
"GDQMF",1092.89617486339
"GFKRF",1092.89617486339
"GFMH",1092.89617486339
"GFN",1092.89617486339
"GHDX",1092.89617486339
"GIGL",1092.89617486339
"GLGLF",1092.89617486339
"GLLK",1092.89617486339
"GLOG",1092.89617486339
"GLP",1092.89617486339
"GLRE",1092.89617486339
"GLUSF",1092.89617486339
"GLUU",1092.89617486339
"GLVMF",1092.89617486339
"GMED",1092.89617486339
"GNGXF",1092.89617486339
"GNK",1092.89617486339
"GNTOF",1092.89617486339
"GOGO",1092.89617486339
"GOL",1092.89617486339
"GORO",1092.89617486339
"GRVY",1092.89617486339
"GSAT",1092.89617486339
"GSL",1092.89617486339
"GSPE",1092.89617486339
"GST",1092.89617486339
"GTARF",1092.89617486339
"GTE",1092.89617486339
"GTS",1092.89617486339
"GTT",1092.89617486339
"GUID",1092.89617486339
"GVMUF",1092.89617486339
"GXRFF",1092.89617486339
